romanticizes
illusions
views
sees
observes
wonders
idealizes
questions
notices
comments
remarks
notes
locates
differentiates
contrasts
juxtaposes
compares
connotes
denotes
implies
objects
refuses
renounces
rejects
concedes
recognizes
acknowleges
overshadows
downplays
marginalizes
coerces
underscores
highlights
stresses
emphasizes
demonstrates
conveys
suggests
delivers
echoes
substantiates
supports
advances
adds
agrees
affirms
corroborates
concurs with
sustains
parallels
draws
establishes
paints
visualizes
pictures
creates
connects
links
perpetuates
manifests
permeates
symbolizes
emblematizes
encapsulates
summarizes
introduces
concludes
ends
results
aims
addresses
serves
functions
critiques
analyzes
lampoons
asserts
claims
enriches
embodies
enlightens
enhances
contends
argues

typifies
subverts
distorts
illuminates
delineates
employs
uses
depicts
reverberates
culminates
brings home
portrays
distinguishes
engenders
articulates
alludes
