word
evaluates
critizes
examines
analyzes
critiques
comments
notes
observes
illustrates
portrays
examines
scrutinizes
exclaims
says
states
exemplifies
demonstrates
showcases
highlights
underscores
utilizes
uses
employs
evokes
emblematizes
upholds
portrays
implies
connotes
denotes
justifies
claims
substantiates
sustains
points out
points to
suggests
advances
objects
rejects
denies
concedes
reconciles
acknowledges
recognizes
juxtaposes
contrasts
places
frames
serves as
functions as
functions to
sets
establishes
invokes
draws upon
